county,year,wheat_yield,maize_yield,sunflower_yield,emigration_rate_15_64,immigration_rate_15_64,net_migration_rate_15_64,aff_employment_share,change_aff_employment_share,agri_employment_number,agri_workers_per_1000ha,ha_per_agri_worker,change_agri_employment_number,change_agri_employment_pct,change_agri_employment_share,decline_agri_employment_number,decline_agri_employment_pct,decline_agri_employment_share,residual_mechanization_index,density_mechanization_index,annual_mean_temperature_c,annual_precipitation_mm,rural_population_share,selected_crop_area_ha,log_selected_crop_area,wheat_area_share,maize_area_share,sunflower_area_share,z_emigration_rate_15_64,z_aff_employment_share,z_change_aff_employment_share,z_residual_mechanization_index,z_annual_mean_temperature_c,z_annual_precipitation_mm,z_rural_population_share,z_log_selected_crop_area,z_wheat_area_share,z_maize_area_share,z_sunflower_area_share,z_agri_employment_number,z_agri_workers_per_1000ha,z_ha_per_agri_worker,z_change_agri_employment_number,z_change_agri_employment_pct,z_change_agri_employment_share,z_decline_agri_employment_number,z_decline_agri_employment_pct,z_decline_agri_employment_share,z_density_mechanization_index,z_net_migration_rate_15_64,z_immigration_rate_15_64
Alba,2012,2.554843409,1.97795903,1.494949495,0.966313948,0.287282525,-0.6790314226143581,22.03972498090145,,49500,772.1947490757063,1.295010101010101,,,,,,,0.325906016826278,0.325602291,8.933328869,763.6737988,41.89150301,64103,11.068246443685663,21.41865435,66.17631,2.625462147,-0.42670371325327244,-0.4155917851439591,,0.3590255463560394,-0.8152360983773957,-0.003416067867272819,-0.9549297772437941,-0.643046012285844,-0.6516652106693681,1.042744793406211,-1.1697247428443767,0.3097359933651814,0.562004573250681,-0.7813545544987713,,,,,,,0.3497388010472826,-0.2766167647059496,-0.335102987937038
Alba,2013,3.568460697,4.124828569,0.638381995,0.981818819,0.363798938,-0.6180198818310921,23.02561770501743,0.9858927241159812,47100,746.3396082905496,1.3398726114649682,-2400.0,-4.848484848484846,-1.45113671,2400.0,4.848484848484846,1.45113671,0.4120922476330565,0.415278761,8.863475614,960.1238063,41.84734948,63108,11.052602823377345,26.08544083,58.92596818,5.210115992,-0.4105679039968131,-0.3532544753314074,0.7927326935004504,0.4539702758369479,-0.8527582616254092,1.0882296888252017,-0.9589598773408516,-0.6602258726629748,-0.2373555249613591,0.6679584134214893,-0.8393053178952982,0.1897952953047663,0.5095989757219719,-0.7697510543906384,0.24571374519408518,0.25214468799324624,0.18125581821294678,-0.24571374519408518,-0.25214468799324624,-0.18125581821294678,0.4460628809710976,-0.2649238952796269,-0.3212681904266063
Alba,2014,4.287926267,6.114667666,2.514220705,0.623066726,0.366769775,-0.2562969509500662,20.67760559100577,-2.3480121140116594,45300,683.0518697225573,1.4640176600441501,-1800.0,-3.821656050955413,-0.4591622899999983,1800.0,3.821656050955413,0.4591622899999983,0.3636118239552521,0.339253544,9.63422579,875.3168531,41.77167844,66320,11.102246789809177,24.54010856,60.3437877,3.976176116,-0.7839186621555607,-0.5017176448167221,-0.5351052346726731,0.40056312868454047,-0.43874442751979514,0.6169690776552214,-0.9658667286310748,-0.6057067527241982,-0.374547601316681,0.7412486745656841,-0.9970508918484159,0.09983977175945499,0.38132151695831984,-0.7376414584271689,0.3362553589114982,0.32253199717137554,0.4866323652913209,-0.3362553589114982,-0.32253199717137554,-0.4866323652913209,0.36440200517465543,-0.19559965030893364,-0.3207310386349835
Alba,2015,3.999461787,4.862959608,2.160092213,0.781951662,0.393209979,-0.3887416833855379,17.910108958837775,-2.767496632167997,39800,567.347578794315,1.7625879396984925,-5500.0,-12.141280353200878,-3.383458650000001,5500.0,12.141280353200878,3.383458650000001,0.3088795463097765,0.288378161,9.352633282,889.7366828,41.69414576,70151,11.1584053405965,23.83715129,61.37189776,5.565138059,-0.6185682364073711,-0.6767045280187879,-0.7021788257120125,0.34026879574667457,-0.590003807696046,0.6970980942154938,-0.9729435005492686,-0.5440333010235547,-0.43695500025126,0.7943939823566037,-0.793919670819462,-0.17502432796232953,0.14680132799028411,-0.6604175082485497,-0.22208459234588218,-0.24776362505599417,-0.41360407936484,0.22208459234588218,0.24776362505599417,0.41360407936484,0.3097552906212537,-0.22098269985481517,-0.3159504320418006
Alba,2016,4.150194269,5.935285746,2.451675436,1.214885062,0.475981088,-0.7389039742154245,16.065330363771345,-1.8447785950664293,34400,515.2863284351173,1.9406686046511628,-5400.0,-13.567839195979904,-3.4865541,5400.0,13.567839195979904,3.4865541,0.2953028605786179,0.376423505,8.720793196,1121.871581,41.72276102,66759,11.108844398634226,24.67382675,59.99640498,5.409008523,-0.16801751830398054,-0.7933485928376407,-0.3346758326268785,0.3253124072154014,-0.9294011178647827,1.98703989582255,-0.9703316513471022,-0.59846124329586,-0.3626763186878808,0.7232916850429411,-0.813879106239599,-0.4448908985982634,0.04127875683755709,-0.6143576913973838,-0.20699432339298002,-0.34555172621664887,-0.44534172491873525,0.20699432339298002,0.34555172621664887,0.44534172491873525,0.4043273311172252,-0.2880913467129664,-0.30098473399308423
Alba,2017,4.481215731,5.982662442,2.527777778,1.216460928,0.483819687,-0.7326412407901466,16.592090069284062,0.5267597055127169,35000,491.39359222755735,2.0350285714285716,600.0,1.744186046511631,0.0781642199999979,-600.0,-1.744186046511631,-0.0781642199999979,0.2493585174069486,0.293648198,8.747192383,816.4294184,41.63378453,71226,11.173613199281588,20.74102154,62.92084351,6.570634319,-0.16637752573714526,-0.7600419437914593,0.6098677751003141,0.27469906454130594,-0.9152206103962502,0.28973967700090897,-0.9784529535620059,-0.5273319950793016,-0.7118243453843842,0.8744624515195124,-0.6653780881002298,-0.4149057240831597,-0.007149257071066861,-0.589951881878396,0.6984218137811503,0.7040606896794672,0.6520468265608687,-0.6984218137811503,-0.7040606896794672,-0.6520468265608687,0.31541598918788394,-0.2868910930682702,-0.29956745075046187
Alba,2018,4.627407184,7.41071388,2.612148717,1.592975913,0.524745007,-1.068230906543851,14.145605431912484,-2.4464846373715776,35100,475.4358161648177,2.1033333333333335,100.0,0.2857142857142891,0.0083898800000028,-100.0,-0.2857142857142891,-0.0083898800000028,0.237903539320515,0.243995961,9.483492064,1033.067861,41.4078485,73827,11.20947979733897,22.43759058,59.59743725,7.760033592,0.22545894811411535,-0.9147314622968613,-0.5743251757774249,0.26207999783604013,-0.5197121000205734,1.4935697995360593,-0.999075196368679,-0.4879432132830012,-0.5612057154649073,0.7026681510124555,-0.5133265379169162,-0.409908194997309,-0.03949395775346662,-0.5722851417848996,0.6229704690166394,0.6040850140830972,0.6305669914015397,-0.6229704690166394,-0.6040850140830972,-0.6305669914015397,0.26208309099079613,-0.351206894506899,-0.29216781591329793
Alba,2019,4.295356197,5.858560104,2.868480127,1.502215292,0.565707657,-0.9365076346764531,13.754021643755484,-0.3915837881569999,34800,483.23265986252864,2.0693965517241377,-300.0,-0.8547008547008517,-0.2895284800000013,300.0,0.8547008547008517,0.2895284800000013,0.3164795182849076,0.284875944,9.709572209,845.2239256,41.13324981,72015,11.18462970963315,21.49968757,59.90696383,10.51586475,0.13100501370512846,-0.9394910323016034,0.24410708870036865,0.34864109926298703,-0.39827157290663234,0.4497468055368084,-1.0241391087494283,-0.5152336376688742,-0.6444712136750793,0.7186682720146474,-0.16102398558689104,-0.4249007822548609,-0.023690591753190805,-0.5810627479660817,0.5626093932050308,0.5259115607547986,0.5388536586242155,-0.5626093932050308,-0.5259115607547986,-0.5388536586242155,0.3059934584458954,-0.32596211296917504,-0.2847614315047569
Alba,2020,3.278239418,6.45859199,2.417423678,1.134126096,0.299216246,-0.8349098490405775,13.904577883472058,0.1505562397165736,33500,465.1162790697674,2.15,-1300.0,-3.735632183908044,-0.7330759399999991,1300.0,3.735632183908044,0.7330759399999991,0.3293535013614467,0.289915055,9.267863746,980.2670288,41.06776562,72025,11.18476855995273,21.3870184,60.3873655,9.323151683,-0.25206280130729547,-0.9299714661968425,0.4600322954305208,0.36282337442575774,-0.6355383553452622,1.2001628144487144,-1.0301161583867893,-0.5150811519234594,-0.6544737986683578,0.7435013084849079,-0.31349916770451486,-0.4898686603709191,-0.06041055272309291,-0.5602150042419365,0.4117067036760091,0.32842878205034454,0.4023088152600264,-0.4117067036760091,-0.32842878205034454,-0.4023088152600264,0.31140611274315955,-0.306490884637737,-0.3329452729173731
Alba,2021,4.873308929,6.259047576,2.503319016,1.793549009,0.636420616,-1.157128393037944,20.810210876803552,6.905632993331494,17200,243.41574560224169,4.108197674418605,-16300.0,-48.65671641791045,-8.77231665,16300.0,48.65671641791045,8.77231665,0.3385097240913025,0.302391721,8.353868799,966.8608686,41.59254291,70661,11.16564907309151,17.78350151,62.6455895,10.87304171,0.4341939462339653,-0.4933331050170492,3.1504651531985677,0.3729100794831128,-1.126497117527403,1.1256666203171382,-0.9822172699544846,-0.5360782170710645,-0.9743881458401618,0.8602339562919347,-0.11536285925983347,-1.3044659013645714,-0.5097737577174847,-0.0537353913874386,-1.8518336392593169,-2.750832582846159,-2.07254892265593,1.8518336392593169,2.750832582846159,2.07254892265593,0.3248076591350586,-0.368244108918452,-0.27197594626346017
