judet,an,ocupati_aff_eurostat_mii,ocupati_total_eurostat_mii,ocupati_aff_eurostat_nr,ocupati_total_eurostat_nr,pondere_ocupati_aff_eurostat,schimbare_pondere_ocupati_aff_eurostat,schimbare_ocupati_aff_eurostat_pct
Alba,2012,28.85,130.9,28850.0,130900.0,22.03972498090145,,
Alba,2013,30.38,131.94,30380.0,131940.0,23.02561770501743,0.9858927241159812,5.303292894280753
Alba,2014,27.22,131.64,27220.0,131640.0,20.677605591005772,-2.3480121140116594,-10.401579986833443
Alba,2015,23.67,132.16,23670.0,132160.0,17.910108958837775,-2.7674966321679975,-13.041880969875097
Alba,2016,21.64,134.7,21640.0,134700.0,16.065330363771345,-1.8447785950664297,-8.576256865230247
Alba,2017,22.99,138.56,22990.0,138560.0,16.592090069284062,0.5267597055127169,6.238447319778184
Alba,2018,18.75,132.55,18750.0,132550.0,14.145605431912484,-2.4464846373715776,-18.442801217920834
Alba,2019,18.81,136.76,18810.0,136760.0,13.754021643755484,-0.3915837881569999,0.32000000000000917
Alba,2020,18.71,134.56,18710.0,134560.0,13.904577883472058,0.15055623971657361,-0.531632110579483
Alba,2021,30.0,144.16,30000.0,144160.0,20.810210876803552,6.905632993331494,60.34206306787815
Alba,2022,30.9,149.08,30900.0,149080.0,20.727126375100617,-0.08308450170293469,3.0000000000000027
Arad,2012,40.62,189.21,40620.0,189210.0,21.468209925479623,,
Arad,2013,43.13,194.3,43130.0,194300.0,22.197632527020073,0.729422601540449,6.179222058099465
Arad,2014,37.0,194.44,37000.0,194440.0,19.029006377288624,-3.1686261497314483,-14.21284488754927
Arad,2015,20.39,179.82,20390.0,179820.0,11.33911689467245,-7.689889482616174,-44.89189189189189
Arad,2016,16.74,176.76,16740.0,176760.0,9.470468431771893,-1.8686484629005573,-17.900931829328105
Arad,2017,15.22,181.81,15220.0,181810.0,8.371376711952037,-1.0990917198198566,-9.08004778972521
Arad,2018,13.68,183.12,13680.0,183120.0,7.470511140235911,-0.9008655717161256,-10.11826544021025
Arad,2019,12.85,184.05,12850.0,184050.0,6.981798424341211,-0.48871271589470044,-6.067251461988299
